"","taxonomy","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"68","Viruses;Siphoviridae;NA;Pahexavirus;Propionibacterium virus P105","0","0","0","0","0","0","39","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"69","Viruses;Siphoviridae;NA;Pahexavirus;Propionibacterium virus PHL025M00","0","0","0","0","0","0","33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70","Viruses;Siphoviridae;NA;Pahexavirus;Propionibacterium virus PHL082M03","0","0","0","0","0","0","31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"71","Viruses;Siphoviridae;NA;Pahexavirus;Propionibacterium phage MEAK","0","0","0","0","0","0","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"72","Viruses;Siphoviridae;NA;Pahexavirus;Propionibacterium virus Attacne","0","0","0","0","0","0","23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"73","Viruses;Siphoviridae;NA;Pahexavirus;Propionibacterium virus P101A","0","0","0","0","0","0","22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"74","Viruses;Siphoviridae;NA;Pahexavirus;Propionibacterium phage PA1-14","0","0","0","0","0","0","21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"75","Viruses;Siphoviridae;NA;Pahexavirus;Propionibacterium phage pa615","0","0","0","0","0","0","21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"76","Viruses;Siphoviridae;NA;Pahexavirus;Propionibacterium phage pa9-6919-4","0","0","0","0","0","0","19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"77","Viruses;Siphoviridae;NA;Pahexavirus;Propionibacterium virus P100D","0","0","0","0","0","0","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"78","Viruses;Siphoviridae;NA;Pahexavirus;Propionibacterium virus SKKY","0","0","0","0","0","0","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"79","Viruses;Siphoviridae;NA;Pahexavirus;Propionibacterium phage pa29399-1-D_2","0","0","0","0","0","0","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80","Viruses;Siphoviridae;NA;Pahexavirus;Propionibacterium virus PHL141N00","0","0","0","0","0","0","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"81","Viruses;Siphoviridae;NA;Pahexavirus;Propionibacterium virus PHL194M00","0","0","0","0","0","0","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"82","Viruses;Siphoviridae;NA;Pahexavirus;Propionibacterium phage pa33","0","0","0","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"83","Viruses;Retroviridae;Orthoretrovirinae;Gammaretrovirus;Moloney murine sarcoma virus","0","0","0","0","0","0","14","0","0","0","0","0","15","0","0","12","0","0","0","0","0","0","0","0"
"84","Viruses;Siphoviridae;NA;Pahexavirus;Propionibacterium virus PHL132N00","0","0","0","0","0","0","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"85","Viruses;Siphoviridae;NA;Pahexavirus;Propionibacterium virus PHL113M01","0","0","0","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"86","Viruses;Siphoviridae;NA;Pahexavirus;Propionibacterium phage BruceLethal","0","0","0","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"87","Viruses;Siphoviridae;NA;Pahexavirus;Propionibacterium virus PHL179M00","0","0","0","0","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"88","Viruses;Siphoviridae;NA;Pahexavirus;Propionibacterium virus PHL092M00","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"89","Viruses;Siphoviridae;NA;Pahexavirus;Propionibacterium virus Stormborn","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"90","Viruses;Siphoviridae;NA;Pahexavirus;Propionibacterium phage pa63","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"91","Viruses;Siphoviridae;NA;Pahexavirus;Propionibacterium virus P91","0","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"92","Viruses;Siphoviridae;NA;Pahexavirus;Propionibacterium virus PHL060L00","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"93","Viruses;Siphoviridae;NA;Pahexavirus;Propionibacterium virus PHL041M10","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"94","Viruses;Siphoviridae;NA;Pahexavirus;Propionibacterium phage Aquarius","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"95","Viruses;Siphoviridae;NA;Pahexavirus;Propionibacterium phage DrParker","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"96","Viruses;Siphoviridae;NA;Pahexavirus;Propionibacterium virus PHL037M02","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"97","Viruses;Siphoviridae;NA;Pahexavirus;Propionibacterium virus PHL071N05","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","Viruses;Siphoviridae;NA;Pahexavirus;Propionibacterium virus Kubed","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"99","Viruses;Siphoviridae;NA;Pahexavirus;Propionibacterium virus Pirate","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100","Viruses;Siphoviridae;NA;Pahexavirus;Propionibacterium phage Leviosa","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"101","Viruses;Genomoviridae;NA;NA;Capybara genomovirus 9","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"102","Viruses;Siphoviridae;NA;Pahexavirus;Propionibacterium phage PHL116M10","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"103","Viruses;Siphoviridae;NA;Pahexavirus;Propionibacterium phage Enoki","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"104","Viruses;Siphoviridae;NA;Pahexavirus;Propionibacterium virus MrAK","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"105","Viruses;Papillomaviridae;Firstpapillomavirinae;Gammapapillomavirus;Gammapapillomavirus 7","0","0","0","0","0","18263","7","4","0","0","0","925","0","0","0","0","0","0","0","0","4","0","0","0"
"106","Viruses;Siphoviridae;NA;Pahexavirus;Propionibacterium phage pa27","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"107","Viruses;NA;NA;NA;CRESS virus sp.","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","83","0","0","0","0","0","0","0","0"
"108","Viruses;Geminiviridae;NA;Begomovirus;Sida golden mosaic Buckup virus","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"109","Viruses;Siphoviridae;NA;Pahexavirus;Propionibacterium virus Wizzo","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"110","Viruses;Siphoviridae;NA;Pahexavirus;Propionibacterium phage pa28","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"111","Viruses;Siphoviridae;NA;Pahexavirus;Propionibacterium phage pa35","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"112","Viruses;Siphoviridae;NA;Pahexavirus;Propionibacterium virus PHL067M01","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"113","Viruses;Siphoviridae;NA;Pahexavirus;Propionibacterium virus PHL117M01","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"114","Viruses;Siphoviridae;NA;Pahexavirus;Propionibacterium virus ATCC29399BC","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"115","Viruses;Siphoviridae;NA;Pahexavirus;Propionibacterium virus PHL070N00","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"116","Viruses;Siphoviridae;NA;Pahexavirus;Propionibacterium virus Keiki","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"117","Viruses;Siphoviridae;NA;Pahexavirus;Propionibacterium phage PacnesP1","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"118","Viruses;Siphoviridae;NA;Pahexavirus;Propionibacterium virus PA6","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"119","Viruses;Siphoviridae;NA;Pahexavirus;Propionibacterium virus PHL111M01","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"120","Viruses;Siphoviridae;NA;Pahexavirus;Propionibacterium virus PHL112N00","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"121","Viruses;Siphoviridae;NA;Pahexavirus;Propionibacterium phage LilBandit","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"122","Viruses;Siphoviridae;NA;Pahexavirus;Propionibacterium phage Supernova","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"123","Viruses;NA;NA;NA;uncultured virus","0","4","0","0","4","0","2","191","0","0","0","2","0","0","0","27","281","0","0","0","0","0","0","0"
"124","Viruses;Siphoviridae;NA;Pahexavirus;Propionibacterium virus PAD20","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"125","Viruses;Siphoviridae;NA;Pahexavirus;Propionibacterium virus PAS50","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"126","Viruses;Siphoviridae;NA;Pahexavirus;Propionibacterium virus P104A","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"127","Viruses;Siphoviridae;NA;Pahexavirus;Propionibacterium virus Procrass1","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"128","Viruses;Papillomaviridae;Firstpapillomavirinae;Alphapapillomavirus;Alphapapillomavirus 7","0","0","0","0","2922","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16","0"
"129","Viruses;Siphoviridae;NA;NA","0","0","0","0","0","22","0","4","0","0","0","0","0","2","0","35","0","0","0","0","0","0","6","2"
"130","Viruses;Siphoviridae;NA;NA;Siphovirus contig89","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"131","Viruses;Papillomaviridae;Firstpapillomavirinae;Dyothetapapillomavirus","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"132","Viruses;Papillomaviridae;Firstpapillomavirinae;Dyothetapapillomavirus;Dyothetapapillomavirus 1","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"133","Viruses;Genomoviridae;NA;NA;Genomoviridae sp.","0","0","0","0","0","0","0","2","0","0","0","18","0","0","0","0","0","0","0","0","0","0","0","0"
"134","Viruses;Papillomaviridae;Firstpapillomavirinae;Gammapapillomavirus;Gammapapillomavirus 23","0","0","0","0","0","0","0","0","0","2887","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"135","Viruses;Papillomaviridae;Firstpapillomavirinae;Gammapapillomavirus;Gammapapillomavirus 8","0","0","0","0","0","0","0","0","0","90","0","0","0","0","0","0","0","0","0","0","0","85","0","0"
"136","Viruses;Papillomaviridae;Firstpapillomavirinae;Lambdapapillomavirus","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
