Virus	RCA-Skin-5	RCA-Vulva-5	RCA-Vulva-8	RCA-Skin-7	RCA-Vulva-3	RCA-Vulva-7	RCA-Skin-10	RCA-Skin-3	RCA-Vulva-4	RCA-Skin-8	RCA-Vulva-9	RCA-Skin-12	RCA-Skin-1	RCA-Vulva-1	RCA-Vulva-6	RCA-Skin-4	RCA-Skin-6	RCA-Vulva-10	RCA-Vulva-11	RCA-Vulva-12	RCA-Skin-11	RCA-Skin-2	RCA-Vulva-2	RCA-Skin-9
2548127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.0	0	0	0	0	0	0	0	0
1573583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.0	0	0	0	0	0	0	0	0
2548114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.0	0	0	0	0	0	0	0	0
1573584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.0	0	0	0	0	0	32.0	0	0
1506566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34.0	0	0	0	0	0	313.0	0	0
2548118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.0	0	0	0	0	0	0	0	0
37955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60.0	0	167.0	0	0	0	37.0	0	0
1506571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.0	0	0	0	0	0	370.0	0	0
1506570	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.0	0	0	0	0	0	10.0	0	0
2219103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.0	0	0	0	0	0	0	0	0
69986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0	0	0	0	0	0	0	0	0
2016461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	0	0	0	0
746831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	0	0	0	0
2219119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	0	0	0	0
10607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.0	0	0	0	0	0
2055263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1398.0	0	0	0
444008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35.0	0	0	0
444010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.0	0	0	0
1175849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0	0	0	0
10359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0
444011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0
1506569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52.0	0	0
1506573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39.0	0	0
1434988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	969.0	0	0
